time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity,right_velocity,left_rps,right_rps,voltage
1777785502.291,,,,,0.0000,0.0022,-0.0000,0.0000,0.0000,0.0000,49.6273
1777785503.291,,,,,-0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785504.290,,,,,0.0000,0.0022,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785505.291,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785506.290,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785507.290,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785508.290,0.0000,0.0000,0.0000,1.0000,0.0004,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785509.290,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785510.290,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.7191
1777785511.290,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785512.290,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.7191
1777785513.290,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785514.290,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785515.292,0.0000,0.0000,0.0000,1.0000,-0.0002,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785516.291,0.0000,0.0000,0.0000,1.0000,-0.0004,0.0022,-0.0000,0.0000,0.0000,-0.0229,49.6732
1777785517.292,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0044,-0.0000,0.0000,0.0000,0.0000,49.5814
1777785518.290,0.0000,0.0000,0.0000,1.0000,-0.0004,-0.0022,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785519.291,0.0000,0.0000,0.0000,1.0000,-0.0011,0.0022,-0.0000,0.0000,0.0000,-0.0076,49.6579
1777785520.290,0.0000,0.0000,0.0000,1.0000,0.0007,-0.0022,-0.0000,0.0000,0.0076,0.0000,49.6885
1777785521.290,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0056,-0.0000,0.0000,0.0000,0.0000,49.6732
1777785522.291,0.0000,0.0000,0.0000,1.0000,0.0003,0.0022,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785523.290,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6273
1777785524.290,0.0000,0.0000,0.0000,1.0000,-0.0004,-0.0033,-0.0000,0.0000,0.0000,0.0076,49.6426
1777785525.290,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785526.291,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785527.290,0.0000,0.0000,0.0000,1.0000,-0.0013,-0.0000,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785528.291,0.0000,0.0000,0.0000,1.0000,0.0002,-0.0022,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785529.294,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785530.291,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,49.6120
1777785531.293,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.5814
1777785532.291,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,-0.0000,0.0000,0.0229,0.0000,49.6426
1777785533.291,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
1777785534.290,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6273
1777785535.290,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.5814
1777785536.290,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6579
1777785537.290,0.0000,0.0000,0.0000,1.0000,-0.0016,-0.0133,-0.0000,0.0000,-0.0229,0.0381,49.6732
1777785538.291,-0.1052,0.0026,-0.0214,0.9998,-0.5053,-0.0944,-0.0000,0.0000,-0.8926,0.9995,49.5967
1777785539.290,-0.4747,0.0150,-0.0495,0.9988,0.0436,-0.2967,-0.0000,0.0000,0.4349,-0.1984,49.6273
1777785540.290,-0.2585,-0.0874,-0.2426,0.9701,0.4359,-0.1544,-0.0000,0.0000,0.3738,-0.2747,49.6426
1777785541.291,-0.1396,-0.1511,-0.2552,0.9669,-0.0934,-0.0422,-0.0000,0.0000,-0.9079,0.9613,49.5814
1777785542.291,-0.4177,-0.0075,-0.2523,0.9677,-0.5882,-0.0244,-0.0000,0.0000,-1.0071,1.0223,49.6579
1777785543.290,-0.8621,0.2247,-0.2395,0.9709,-0.5528,-0.0156,-0.0000,0.0000,-0.9918,0.9918,49.9641
1777785544.292,-1.4238,0.4669,-0.2407,0.9706,-0.3078,-0.0933,-0.0000,0.0000,-0.0839,0.1678,49.6732
1777785545.290,-1.4238,0.4669,-0.2407,0.9706,0.4182,-0.1733,-0.0000,0.0000,1.1292,-0.9918,49.5814
1777785546.290,-0.9898,0.1921,-0.3000,0.9539,0.5916,-0.0356,-0.0000,0.0000,1.0300,-1.0376,49.6273
1777785547.292,-0.5175,-0.0811,-0.2273,0.9738,0.5185,0.4344,-0.0000,0.0000,0.6180,-0.9918,49.6732
1777785548.292,-0.1367,-0.1524,0.1367,0.9906,0.1389,0.7133,-0.0000,0.0000,0.1678,-0.6866,49.6579
1777785549.291,0.0758,0.2751,0.5532,0.8330,0.1039,-0.0444,-0.0000,0.0000,-0.0076,0.0305,49.6273
1777785550.290,0.0758,0.2751,0.5532,0.8330,-0.0099,-0.0011,-0.0000,0.0000,0.0000,0.0000,49.6120
